Grad: Metric:Corr           :      0.017u      0.000s      0.009w      1 calls
Grad: 3-Index:Corr          :      0.033u      0.000s      0.022w      1 calls

-----------------------------------------------------------
JK: (A|mn)                  :      0.017u      0.000s      0.007w      1 calls
JK: (A|Q)^-1/2              :      0.000u      0.000s      0.011w      1 calls
JK: (Q|mn)                  :      0.000u      0.000s      0.000w      1 calls
HF: Form H                  :      0.017u      0.000s      0.001w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.000u      0.000s      0.000w      1 calls
HF: Form G                  :      0.017u      0.033s      0.007w     15 calls
| JK: D                     :      0.000u      0.000s      0.000w     15 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w     15 calls
| JK: JK                    :      0.017u      0.033s      0.006w     15 calls
| | JK: J                   :      0.000u      0.017s      0.003w     15 calls
| | | JK: J1                :      0.000u      0.017s      0.003w     30 calls
| | | JK: J2                :      0.000u      0.000s      0.000w     30 calls
| | JK: K                   :      0.017u      0.017s      0.003w     15 calls
| | | JK: K1                :      0.017u      0.000s      0.003w     30 calls
| | | JK: K2                :      0.000u      0.017s      0.001w     30 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w     15 calls
HF: Form F                  :      0.000u      0.000s      0.000w     15 calls
HF: DIIS                    :      0.000u      0.033s      0.002w     15 calls
| DIISManager::add_entry    :      0.000u      0.017s      0.000w     15 calls
| DIISManager::extrapolate  :      0.000u      0.017s      0.001w     14 calls
| | DIISManager::extrapolate: bMatrix setup:      0.000u      0.000s      0.000w     14 calls
| | DIISManager::extrapolate: bMatrix pseudoinverse:      0.000u      0.017s      0.000w     14 calls
| | DIISManager::extrapolate: form new data:      0.000u      0.000s      0.000w     14 calls
HF: Form C                  :      0.000u      0.033s      0.001w     15 calls
HF: Form D                  :      0.000u      0.000s      0.000w     15 calls
DF CC Integrals             :      0.050u      0.000s      0.042w      1 calls
| Form J                    :      0.017u      0.000s      0.014w      2 calls
| Form B(Q,munu)            :      0.017u      0.000s      0.012w      1 calls
| Form B(Q,ij)              :      0.000u      0.000s      0.003w      2 calls
| Form B(Q,ia)              :      0.000u      0.000s      0.004w      2 calls
| Form B(Q,ab)              :      0.000u      0.000s      0.003w      2 calls
| Trans OEI                 :      0.000u      0.000s      0.000w      1 calls
Fock                        :      0.000u      0.017s      0.003w      1 calls
MP2                         :      0.017u      0.067s      0.007w      1 calls
| Build (IA|JB)             :      0.017u      0.067s      0.006w      1 calls
| Build <PQ||RS>            :      0.000u      0.000s      0.000w      2 calls
| Build (ia|jb)             :      0.000u      0.000s      0.000w      1 calls
| Build (IA|jb)             :      0.000u      0.000s      0.001w      1 calls
opdm                        :      0.000u      0.033s      0.002w      1 calls
| T2AA_MP2                  :      0.000u      0.017s      0.000w      1 calls
| | Build (IA|JB)           :      0.000u      0.017s      0.000w      1 calls
| | Build <PQ||RS>          :      0.000u      0.000s      0.000w      1 calls
| T2AB_MP2                  :      0.000u      0.000s      0.001w      1 calls
| | Build (IA|jb)           :      0.000u      0.000s      0.001w      1 calls
| T2BB_MP2                  :      0.000u      0.017s      0.001w      1 calls
| | Build (ia|jb)           :      0.000u      0.017s      0.001w      1 calls
| | Build <PQ||RS>          :      0.000u      0.000s      0.000w      1 calls
tpdm                        :      0.017u      0.033s      0.004w      1 calls
| T2AA_MP2                  :      0.000u      0.000s      0.000w      1 calls
| | Build (IA|JB)           :      0.000u      0.000s      0.000w      1 calls
| | Build <PQ||RS>          :      0.000u      0.000s      0.000w      1 calls
| T2AB_MP2                  :      0.000u      0.033s      0.001w      2 calls
| | Build (IA|jb)           :      0.000u      0.033s      0.001w      2 calls
| T2BB_MP2                  :      0.017u      0.000s      0.000w      1 calls
| | Build (ia|jb)           :      0.017u      0.000s      0.000w      1 calls
| | Build <PQ||RS>          :      0.000u      0.000s      0.000w      1 calls
sep_tpdm                    :      0.000u      0.067s      0.006w      1 calls
GFM VO                      :      0.017u      0.067s      0.007w      1 calls
GFM OV                      :      0.017u      0.150s      0.015w      1 calls
GFM OO                      :      0.033u      0.117s      0.012w      1 calls
GFM VV                      :      0.017u      0.117s      0.010w      1 calls
Z-vector                    :      0.067u      0.267s      0.092w      1 calls
Gamma^eff                   :      0.017u      0.017s      0.017w      1 calls
tpdm_tilde                  :      0.000u      0.017s      0.016w      1 calls
back_trans                  :      0.033u      0.150s      0.020w      1 calls
Grad: T                     :      0.000u      0.000s      0.000w      1 calls
Grad: V                     :      0.050u      0.167s      0.017w      1 calls
Grad: S                     :      0.000u      0.000s      0.000w      1 calls
Grad: Metric:RefSep         :      0.083u      0.267s      0.026w      1 calls
Grad: 3-Index:RefSep        :      0.100u      0.250s      0.034w      1 calls
Grad: Metric:Corr           :      0.017u      0.000s      0.009w      1 calls
Grad: 3-Index:Corr          :      0.033u      0.000s      0.022w      1 calls

***********************************************************
